"title","location","company","description","link",
"Master's Fall Machine Learning Internship","New York, NY","Pinterest","What We’re Looking For

This role will be on our Visual Search team. We are looking for candidates with experience in Computer Vision, Visual Search, User Understanding, Generative AI, and LLMs. 
Ability to legally work full time (40 hours/week) from September-December 2026
Working towards a Master's degree in Computer Science, ML, NLP, Statistics, Information Sciences or related field
Mastery of at least one systems language (Java, C++, Python) and one ML framework (Tensorflow, Pytorch, MLFlow)
Proficiency with AI-native engineering, including the design of agent-friendly codebases.
High degree of autonomy in learning new agent-first development tools.
Strong critical thinking when working with AI-generated suggestions, with a clear approach to validating correctness, performance, security, and maintainability.
Comfort iterating on prompts, refining workflows, and adapting AI-assisted approaches based on the problem, context, and constraints.
Experience in research and in solving analytical problems
Strong communicator and team player. Being able to find solutions for open-ended problems.


Preferred Qualifications

Publications in machine learning, AI, data science, data analytics, statistics, or related technical fields
Strong passion for research and for answering hard questions with research
Passion for applied ML and the Pinterest product","https://www.linkedin.com/jobs/view/4405456880/?alternateChannel=search&eBP=CwEAAAGd0KCMzOAdVxI-NUO7c8pfogVYgykLiUL7sX3rTHMGq6qEotnS4zDMfOt_B3rx-jzhGlhP2thQeagBwB1kUoVBo-w8uckFTEkEOrEY8rtSwsJt3G7c0jKGJzgcciOB8133JWA09WXdm29mUUHoLT_3n2N9pJiW_DdKmzXp8qlbK1EQY9egGCdH3C2LmBq77hD600ovb5ixZUSokMgvW0JgJ5QqJjmHy5cat82AyjzIMsJAGFeWsIh_iRnGoJsSC3ZhUSkt0KfL-MNCWAiik8rHN3Y1DK1JyTxZaGPWAg7Hb_uXXkSFVgWOAzM4SL-B1XFBdkTmQHdNHUkmpOTv86pxa8A3gQxd6Cv-5nsSSEMA22lRl7fVSP84NyvgazhoHyi9vlwXkfQaajC7nuywWGjl_a7zhRckQczdOeOsoPqKUmIbdy2QMjlHDmHvEgwv7LyTT3Que1VqL-Ng2RGuXb36mukernADx76IiGvV9Oo&refId=z9OofLqD%2BeNnUQk%2B1HbgVg%3D%3D&trackingId=qDi8KM76D3H9LFWored2AQ%3D%3D"
"Data Engineering Intern","Teaneck, NJ","Phibro Animal Health","Key Responsibilities

Data Warehousing
AI-Assisted coding
Collaborate with the data warehousing team on various activities
Gain a good understanding of data warehousing architecture
Apply AI in day to day coding
Create data agents/ops agents


Key Competencies

Accepting Direction

Adaptable

Attendance and Punctuality

Attentive Listening

Collaborative

Communicating Effectively

Critical Thinking

Demonstrating Initiative

Demonstrating Tenacity and Perseverance

Detailed Oriented

Establishing Relationships

Following Policies and Procedures

Learning Quickly

Managing Time

Prioritizing and Organizing Work

Problem Solving

Skills

Proficiency in Microsoft Office Products

A motivated self-starter, work well in groups and demonstrate excellent customer service.

Excellent Written and Verbal Communication Skills

Education & Experience

Must be enrolled in an accredited university/college program, Computer Science or similar area of study preferred.
Must be 18 years of age","https://www.linkedin.com/jobs/view/4404220585/?alternateChannel=search&eBP=CwEAAAGd0KCMy2SRHLfJd8oh4IpuQIgjGNixxUWA6auPTQkxSrrMrfDwWyosE_IE6bpYm9ES-bffmXvLUyLn_Ho-wVCObmlPWE-o99brU_IKr6kSScqtN3rXTLbiaHoBK8PE7gDMcBu_IUCe2k8E1Yom2AgKqMuvHszW8xE07G94s4pFx4BIXHDJXnq_pHu37FGD9G0_DoivjyBIqdVLfvgzGIr0beWF-fPcRgbYNav2J1ffHewK5mduEqmAnN67trnIfM3dgX0CJ1c1PlXuXN9Ux5ST7MBcW0IktdapTAtIeBrA2oyw3LTLnrtDko8EifKimPKUIkbl-AuyY9cIQ5e9XgRXa_r6VcsmbBAyVvu0xewGb0CbFpDIS5jD8DLwKYd_oU5h8AIL_Ppev_6a7hQ7C2i5UXHmldY_Y0WwTmAIO9Q7FZiDpJ8LaUx3BdjohfxX6Kr-bJRAJLkV9jVh6G9bani4PNDhEbr0CmlDKw9EQHZA9NLk3fo&refId=z9OofLqD%2BeNnUQk%2B1HbgVg%3D%3D&trackingId=1rdDOuX1%2BI5aFTkhZn7%2B%2Fg%3D%3D"
"Software Engineering Intern","New York, NY","Kira","What You’ll Work On

Intern projects typically sit directly on critical product paths, such as:

AI-powered grading and feedback systems
Student and teacher-facing product surfaces (dashboards, workflows)
Internal tools used by curriculum and operations teams
Infrastructure supporting LLM-based features (evals, prompt iteration, reliability)

You’ll work across the stack:

Frontend: TypeScript, React, Next.js
Backend: Node, Python
Data: APIs, databases, system integrations

What You’ll Do

Own a scoped project with a clear user outcome and ship it end-to-end
Write production-quality code that is reviewed, tested, and deployed
Participate in design discussions and code reviews with the team
Work directly with product and design to clarify requirements and tradeoffs
Debug real issues and improve system reliability and performance
Contribute to AI-powered features where relevant to your project

What We’re Looking For

Candidates who already operate at a high level of independence and technical maturity
Currently pursuing an undergraduate degree in Computer Science or a related field (returning to school in Fall 2026)
Strong fundamentals in data structures, algorithms, and systems
Experience building and shipping non-trivial projects end-to-end
Comfortable working across the stack (not just frontend or backend in isolation)
Clear, structured thinking and strong written communication
Experience building fullstack applications or APIs from scratch
Exposure to LLMs or interest in building AI-powered systems
Evidence of initiative (open source, research, side projects, technical writing)","https://www.linkedin.com/jobs/view/4404913102/?alternateChannel=search&eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=z9OofLqD%2BeNnUQk%2B1HbgVg%3D%3D&trackingId=jKooT8JtemukGPqMSLdtQg%3D%3D"
"Software Engineering Intern ","Woodbridge, NJ ","Bessemer Trust","Primary Responsibilities

Software Development: Assist in the design, development, and testing of software applications. This includes coding, debugging, and collaborating with team members on software solutions.
Collaboration: Work closely with cross-functional teams including business analysts, testers and business areas directly to understand requirements and deliver high-quality software.
Problem Solving: Analyze and troubleshoot software issues, identifying and implementing solutions in a timely manner.
Code Reviews: Participate in code reviews to ensure code quality, adherence to best practices, and continuous learning.

Qualifications

Education: Currently pursuing a degree in Computer Science, Software Engineering, or a related field.
Programming Skills: Proficiency in at least one programming language such as Python, Java, C#, or JavaScript.
Knowledge: Basic understanding of software development principles, data structures, algorithms, and object-oriented programming.
Analytical Skills: Strong problem-solving skills and the ability to work with complex technical concepts.
Attention to Detail: High level of accuracy and attention to detail in all work tasks.
Knowledge of one or more of the following:
Web development frameworks (e.g., React or Angular).
Database systems (e.g., SQL, PostgreSQL, or MongoDB).
Version control systems (e.g., Git).
Cloud platforms (e.g., AWS, Azure) is a plus.
Experience with generative AI technologies is a plus","https://www.linkedin.com/jobs/view/4398621412/?alternateChannel=search&eBP=CwEAAAGd0KCMzDcSHSTa2E-1vzxsy10cU0C8VoTA4Vqqe3M32mffaR_PmHY31m8WkhTcNmGX98Ddzly7-f0uSnounjxqLiTyIl2r_MIhm52HTr6Q7uh-zva4h945XONrhLzSBwZV9DaGcFmMXF2Nkw-GK5Ziw0U8oV2BFa2HBnsVBHEVvKIUyqLVSMqLdvCOfbZ8G93nPmX8V380aAb_HEYy8CVN5jVlmBQaaKGLitdqoV3IHGORF56TUHx4CQReAj4mCK6-vY2L2Xb2V2_fJENUzoXqRWRev2yFbpL6oSB22JZt1scjOeox3p7cdvL4HuM6uyOLbfqvNynGEB37UVrcmRZIY5RWDarl4rg29k3_ITbamyjc73wuRX4fNLOYeLsoKBjIX9fm7Y_nMYD0yW-ubQA1LitZ41IdbNsYl11lPcIyzxBOF9_ddUXua4q77uwAql1WaSJZ2385HUqDVIgkpbcSLAMHIlbzeM4kFEuPI2GiuYvz&refId=z9OofLqD%2BeNnUQk%2B1HbgVg%3D%3D&trackingId=5zcNNym0xXD0yQqGtaFomg%3D%3D"
"Software Engineering Intern (Summer 2026)","New York, NY","Vantage","About The Role:

You'll join a small, high-performing team of product engineers shipping across the full Vantage stack — core reporting, provider integrations, and billing/onboarding. We move fast: 10-20 production releases a day, with a backlog that's always groomed and prioritized.

We use Linear and AI tools (e.g. Claude, Codex, Cursor) as core tools, not novelties. Lightweight processes (ADRs, Slack huddles) allow us to be connected and co-ordinated without sacrificing quality. Your work will span new features, performance, scalability, and tech debt reduction, often in the same week. Very quickly after joining you'll see your work in our changelog (https://docs.vantage.sh/changelog)

We expect everyone to have a voice. If something's slowing us down or could be done better, you'll be expected to make a suggested improvement — iteration isn't just for code.

What You Will Do:

Work directly with our engineering team and a mentor to build and ship new features
Write clean, testable, peer-reviewed code
Own end-to-end feature development - including measuring and reporting on customer impact

What We’re Looking For:

Someone currently enrolled in college or university
Experience in at least one object-oriented programming language. We use Ruby for our backend, and are happy to teach it
Someone who is curious and excited to rapidly build, test, and deliver product features that delight customers
Available full-time for 10-12 weeks in our office in New York City between May and August
A kind person

Bonus Points:

Experience with a web framework, such as Ruby on Rails, Django or Express.js
Experience with a front-end framework such as Vue, React or Angular
Previous experience working within a startup environment

Our Tech Stack:

Ruby on Rails (7.x)
Temporal
Serverless Typescript
Large scale data pipelines and storage
Clickhouse
Terraform
Cloudflare
All of the usual AWS services","https://www.linkedin.com/jobs/view/4404902523/?alternateChannel=search&eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=z9OofLqD%2BeNnUQk%2B1HbgVg%3D%3D&trackingId=1%2F7aTrGoaSaO9u1ZL2j9Zg%3D%3D"
"Student Assistant Internship (Chief AI Office)","New York, NY","NYS Office of Information Technology Services"," Duties Description 

Under the direction of a Manager of Information Technology Specialist 1, SG-27, within the CAIO, the Student Assistant will work with other team members to develop and maintain AI solutions across New York State agencies.

Specific Duties Include, But Are Not Limited To

 Coordinate with other team members to integrate AI models into platforms, products and services.
 Enhance existing AI systems and create new solutions based on business needs.
 Design and implement machine learning models and AI algorithms.
 Collect and analyze large sets of data to determine useful patterns and trends.
 Maintain updated knowledge on the latest AI trends and technologies.
 Identify opportunities to leverage AI technology to improve business processes.
 Collaborate with data engineers, software developers, and other IT professionals to ensure proper implementation of AI models.
 Perform regular testing and debugging of AI systems to ensure optimal performance.
 Resolve complex technical issues related to AI implementation and performance.
 Conform to ITS policies, technical and security standards.

Preferred Skills

 Strong interest in AI.
 Previous coursework or projects related to AI or machine learning is a plus.
 Experience with Python for scripting and data manipulation.

Qualifications

 Minimum Qualifications 

 Must be a US citizen or foreign national eligible to work in the United States
 Must be 18 years of age or older
 Must be currently attending a New York State college, university or graduate program, or be a resident of New York State attending a college, university or graduate program outside of New York State
 Must have completed a minimum of one (1) year as a student at a degree-granting two or four-year college or university (completion of one year’s worth of academic credits over a more extended period of time may qualify part-time students) OR currently enrolled graduate student or accepted in a graduate degree program
 Must have a minimum grade point average (GPA) of 2.0 or equivalent to a C.","https://statejobsny.com/public/vacancyDetailsView.cfm?id=214641"
"Data Engineering Intern","New York, NY","DomainTools","DomainTools is seeking a R&D Data Engineering Intern. This role is intended for those seeking to hone their development and data analysis skills as they begin their career.  A successful candidate will be well organized, collaborative, and experienced in working with remote teams. 

As our intern, you will be part of a critical team supporting production machine learning pipelines, providing development and ad-hoc support to our business. Responsibilities include{{:}} assisting in data hygiene projects and documentation to maintain data integrity, automating processes, and supporting the R&D team on other special projects as needed. These valuable opportunities provide hands-on experience, allowing you to put your educational knowledge into action and lay a solid foundation for your future.  The role provides an excellent learning opportunity specifically for those interested in internet security, machine learning, and production development patterns.

The right person for us will have a support oriented mentality, wanting to enable organizations to make better business decisions and improve efficiency.  

Key Responsibilities{{:}}

Data cleaning and preparation to ensure our machine learning pipelines remain accurate and reliable. 
Update and maintain code to ensure our system stays compatible with evolving data sources. 
Develop and improve tools to monitor data health and help the team explore new ways to use our datasets. 

Requirements

Qualifications & Requirements

Strong Organizational Skills{{:}} Ability to manage your tasks and schedule effectively. 
A Strong Attention to Detail{{:}} A sharp eye for spotting inconsistencies in data and a commitment to high-quality documentation. 
Clear and Precise Communication Skills{{:}} The ability to share updates and collaborate effectively with a remote team. 
Development Skills{{:}} Familiarity with python, git. Ideally also familiar with Spark/PySpark. 
Preferred{{:}} Knowledge of computer networks, including DNS, domain names, and IP addresses
Time Commitment

Hours Per Week{{:}} 5-15 hours, depending on availability 
Working Hours{{:}} Can be flexible but a regular check-ins are required during business hours, US/Eastern time
","https://www.linkedin.com/jobs/view/data-engineering-intern-at-domaintools-4406639005/"
"Data-AI Engineering Intern","New York City Metropolitan Area","Berkshire Hathaway GUARD Insurance Companies","Responsibilities

 Assist Senior Data Engineers in building, testing, and maintaining data pipelines, analytics solutions, and AI-enabled features. 
 Support data preparation, validation, and documentation efforts across data engineering, analytics, and AI initiatives. 
 Contribute to the development and experimentation of AI Agents and foundational LLM-driven workflows (where approved and appropriate). 
 Work with structured and semi-structured data using Python and SQL to support analytics and AI use cases. 
 Participate in cloud-based data and AI platforms, gaining hands-on exposure to modern data engineering and AI engineering practices. 
 Collaborate with Engineers and Analysts to understand business requirements and translate them into technical solutions. 
 Learn through shadowing, code reviews, and pair-programming, while progressively taking ownership of well-defined tasks. 
 Document work clearly to support knowledge sharing, reproducibility, and team standards. 
 Apply a data-driven and AI-first mindset to problem solving, experimentation, and continuous improvement. 

Qualifications

 Required Qualifications 

 Currently pursuing a degree in Computer Science, Data Science, Software Engineering, AI/ML, or a related technical program. 
 Strong foundational skills in:
 Python 
 SQL 
 Data Engineering concepts 
 Data Analytics 
 AI Engineering fundamentals, including exposure to AI Agents or LLM-based systems 
 Familiarity with cloud-based data or AI platforms. 
 Demonstrated interest in applying AI-first thinking to real-world data and business problems. 
 Strong analytical and problem-solving skills, with a willingness to learn and experiment. 
 Ability to work effectively in a team-oriented, collaborative environment. 
 Curiosity, initiative, and a desire to learn from experienced engineers. 
 Nice to Have ","https://careers-guard.icims.com/jobs/5814/data-ai-engineering-intern/job?mode=apply&iis=LinkedIn"
"GTM Engineer","New York, NY","Air","The Role: As a GTM Engineer Intern, you'll work directly with our GTM Engineer to design and build the systems that power our outbound motion and support our sales team.

You'll be writing code, building real tools, and shipping things that are actively used by the business — all in service of how we go to market. This role sits at the intersection of engineering and pipeline, so you'll develop both the technical skills and the GTM context to understand why the work matters.

Core Responsibilities

GTM Engineering is a growing discipline, and this role gives you real exposure to it. You'll work on systems that are actively used by the business and develop a strong understanding of the modern GTM stack.

Automated outbound systems — build and iterate on enrichment pipelines, lead scoring logic, and outbound sequences
Web scraping & data collection — build scrapers to gather prospect data, company signals, and other inputs that feed our outbound and enrichment workflows
Internal sales tooling — develop lightweight apps and dashboards that help the sales team operate more effectively
AI/LLM integrations — integrate models like Claude and GPT into GTM workflows to automate personalization, scoring, and research tasks
Workflow automation — connect tools across our stack (Clay, n8n, Zapier, Salesforce) into reliable, repeatable systems

Requirements

Currently pursuing or has a degree in Computer Science or a related engineering field
Comfortable writing code in Python or JavaScript, and building in low-code/automation tools — you know when to use each
Familiar with agentic coding tools like Claude Code
Some exposure to Clay, Salesforce, or automation platforms (Zapier, n8n, Make) is a plus
Self-directed and comfortable working through ambiguity
Genuinely interested in how GTM and revenue teams operate

Nice To Have

Experience building workflows or tools that are actively used by others
Familiarity with web scraping (BeautifulSoup, Playwright, Puppeteer, or similar)
Familiarity with APIs, data enrichment, or CRM data structures
Any prior work at the intersection of AI and sales or marketing
","https://jobs.gem.com/air-labs-inc-/am9icG9zdDpKPC7iNwYwLVHYs44cKOcj"
"NBC News Technology Internships – Academic Year","New York, NY","NBCUniversal","Qualifications

Basic Requirements:


Must be actively enrolled in a degree-granting program at an accredited institution during the entire duration of the program (September 2026 through April 2027). December 2026 graduates are not eligible for this Academic Year Internship Program. 
Current class standing of sophomore or above (30 credits). 
Must be presently authorized to work for any employer in the United States and must not require work visa sponsorship from NBCUniversal now or in the future to retain authorization to work in the United States. 
Must be available to work 16-24 hours per week from September 21, 2026 – April 23, 2027. 
Must be willing to work in New York, NY. 
For further clarification, candidates currently on any student or exchange visa (e.g. F-1 CPT, F-1 OPT, J-1, M-1) are not eligible to apply unless they will be able to change or adjust to another status that grants work authorization without NBCUniversal sponsorship.


NBCUniversal is an E-Verify company, requiring all employees to have an active Social Security number. Any candidate receiving an internship offer must complete I-9 form with Social Security number within 3 days of hire.  


Desired Characteristics:


Students with class standing of junior or above preferred. 
Cumulative GPA of 3.0 or above. 
Strong interest in the media and/or technology industry. 
Previous internship experience or on-campus leadership/projects a plus. 
For technical roles: Knowledge of HTML, C++, CSS (SASS, PostCSS, LESS), Java, Javascript, rxJava Adobe Illustrator, D3.js, QGIS, Wireframing, Figma, Sketch, GraphQL, Microsoft PowerBI / Tableau reporting and visualizations. 
Desired Majors: Digital/New Media Studies, Computer Science, Computer Engineering, Business Analytics, Data Journalism, Information Technology, Network Engineer, Mobile Development, Programming, Product Management, Project Management, Software Engineering, Statistics, Web Design, Web Development, Technology Management, User Experience (UX). ","https://jobs.smartrecruiters.com/NBCUniversal3/744000121819456-nbc-news-technology-internships-academic-year"
